,shop_name,rating,numbers_of_rating,price,shop_type,key_words,address,reviews
10,Caramel Lobby Lounge,3.7,36,0,coffee shop,"Cosy, Casual, Groups","Rosh Rayhaan by Rotana، Olaya St, Riyadh 12211","['Good', ""Great service as well as Brazilian, Columbian, Indonesian coffee, etc. Hot chocolate wasn't too sweet. Comes with a complimentary date which is filled with a kind of caramel."", 'nice coffee.']"
11,Best coffee,4.1,164,0,coffee shop,none,"شارع الملك سعود، حي الوشام، Al Wisham, Riyadh 12735","['Very good Egyptian Cafe to stay & spend good time with friends listening to music & playing Dominos', 'Better place to watch football matches, specially big events like world cup or continental cups.', 'Very friendly Egyptian staff and nice beverages. The cafe is always neat and clean. They have outside area for smokers. The inside area is pretty quite.  They also offer a curated set of food like (Pizza, Hawawshi, Liver and sausage sandwiches)']"
12,dr.CAFE COFFEE,3.9,828,2,coffee shop,"Cosy, Casual, Groups","Al Jamiah St, Riyadh 12629","['I ❤️ Dr.Cafe love their Frappes and variety of Coffee, Nice private cabins here', 'I like that this branch is quiet in the family section, i would have loved to work here but unfortunately the branch doesn’t provide wifi.', ""Well, there ain't long quences so it's quite good for grabbin a quick cup of your morning jo""]"
13,Coffee Day,3.9,889,2,coffee shop,"Cosy, Casual, Groups",7646 عنيزة، Riyadh 14215 3057,"['Their coffee is surprisingly good. Avoid the snacks though.', 'Nice place. But it is self service. They should hire a waiter to serve guests', 'They have a really good drink called ""Italiano""']"
14,Coffee Day,4.2,350,2,coffee shop,"Cosy, Casual, Groups",طريق الملك فهد الفرعي، Riyadh 12363,"[""Good modern environment, spacious, well furnished. This is all good, but I come in for a cup of coffee. So the perfection of it what makes a difference. SOME workers in certain branches need to be either reevaluated or better replaced. They pay no attention to your order details, they're aggressive and show you a grumpy attitude"", 'Latte lovers out there know that Coffee Day serves the best in Riyadh!', 'Best caramel macchiato in townHighly recommended 👍  ']"
15,Plateau Cafe,3.8,215,0,coffee shop,"Late-night food, Cosy, Casual","No. 60, Riyadh 12213","['Increased the standard very much. Earlier wasnt good but it has now become a great cafe.', 'Great food/drinks, amazing service and exceptional vibes!!  Definitely recommend!!', ""Nope didn't go there but went to tuck shop next to it.""]"
16,Urth Caffé,4.1,6913,3,cafe,"Breakfast, Outdoor seating, Cosy","Prince Muhammad Bin Abdulaziz Rd, As Sulimaniyah, Riyadh 12243","['The place is very nice. We loved the atmosphere and seating areas. Very cosy place. …MoreThe place is very nice. We loved the atmosphere and seating areas. Very cosy place. The pies are great and almost all bakery are good. We had breakfast and it was good. The food isn’t considered amazing. But good an above average place. As an overall experience it’s nice, and would visit it again.', 'Over the past two years we have visited this place a multiple of times, mostly for breakfast and lunch, and tried multiple of menu variety every time. Urth cafe has kept its standards in freshness, taste and the service. …MoreOver the past two years we have visited this place a multiple of times, mostly for breakfast and lunch, and tried multiple of menu variety every time. Urth cafe has kept its standards in freshness, taste and the service. Lately we tried their buttermilk pancake, came served while we could still see warm steam coming out of them, topped with butter and pure maple syrup, best pancakes in Riyadh so far. Great for family, friends and solo dinning. 👍  ', 'Highly recommended cafe for chilling out with family and friends. They serve a variety of delicious cakes and pastries, hot and cold drinks, organic selections and some sandwiches, pizza and pasta. The prices are a little over the top but the place exudes a very charming, but classy ambience.']"
17,Jeffries Coffee & Tea House,3.4,18,0,coffee shop,"Cosy, Casual","Ar Raid, Riyadh 12355","['Awful coffee and tea', ""Just skip it and go for Nescafé. It's that's horrendous."", 'The favorite coffee that everyone will like ;)']"
18,Tutti Cafe,4.1,925,2,coffee shop,"Late-night food, Cosy, Casual","Takhassusi St, Riyadh 12333","['Best french coffee, and ask for your Patchi free chocolate with your hot drink', 'Good placeWifi available Toilet available …MoreGood placeWifi available Toilet availableNo families section Prices are so reasonable', 'Italian coffee 👌   ( very very sweet )']"
19,Coffee Day,3.8,364,2,coffee shop,"Cosy, Casual, Groups",طريق سعيد بن زيد، حي، Riyadh,"['Quite and friendly. Too many partitions, though. Good for privacy. Coffee blend is good but surprisingly kept me awake for many hours later. No TV or plasma screen. Not sure about the wifi.', 'In love with this place ♥️♥️they have the Delicious coffee ever 😋', 'Nice place for a quick visit']"
20,Gemini café,3.8,72,0,coffee shop,"Cosy, Casual, Groups",النزهة،، Riyadh 12474,"['The best for car washing', 'Polite employees', 'Avg']"
21,Maya Cafe,3.8,492,2,coffee shop,"Cosy, Casual, Groups",Riyadh 12272,"['Business Meeting Coffee Positives: …MoreBusiness Meeting Coffee Positives:Dining tables suitable for business meetings.Delicious Sofleeh Chocolate.Delicious Cribs chocolate.Areas of Improvement:Location (difficult to get there).Crowded.Expensive.', 'You can find more variety food  to choice', ""It's good""]"
22,Cookery restaurant and coffee shop كوكري مطعم وكافية,3.9,179,0,coffee shop,"Late-night food, Breakfast, Outdoor seating","3878 Prince Muhammad Bin Abdulaziz Rd, As Sulimaniyah, Riyadh 12242 6522","['Nice service all time, Waters all of’m been great and the mangers were absolutely كويسين.', 'Good for the price. No much options', 'Nice atmosphere and delicious food']"
23,Le Cafeier,4.0,861,3,coffee shop,"Cash only, Late-night food, Breakfast",طريق الملك عبدالعزيز الفرعي،، Riyadh 12284,"['Their coffee was beyond perfection, definitely will come again , loved the seating and the atmosphere. Good job 👏  ', 'Used to be elegant and classy now like a cave hate it', 'Everything is good there👌  but i like to drink a coffee more than eat']"
24,Tutti Cafe,4.0,540,2,coffee shop,"Breakfast, Outdoor seating, Cosy","3950 طريق الأمير محمد بن عبدالعزيز، العليا،, 3950 Prince Muhammad Bin Abdulaziz Rd, Riyadh 12331 6522","['Simple but relaxed seating outside. Great mocha but perhaps menu requires more choice rather than just sweet desserts. More hot food would be appreciated. Service was prompt and friendly. Would come again.', ""I appreciate the services provided by the nepali guy called  Danvar , he is the best waiter i'v ever seen  ."", 'Nice french cafe and sweet 😍']"
25,Java Cafe,5.0,3,2,coffee shop,"Cosy, Casual, Groups","Kingdom Centre 2239 Al Urubah Rd, Al Olaya, Riyadh 12214-9597 011 211","['(Translated by Google) reasonable prices(Original)اسعار معقوله', nan, nan]"
26,سلطان القهوة,3.8,229,2,coffee shop,none,"Takhassusi St, Riyadh 12344","['The best coffee I taste', 'Only here for the seating area, coffee and desert aren’t that great.', 'Good']"
27,dr.CAFE COFFEE,4.5,666,2,coffee shop,"Late-night food, Breakfast, Outdoor seating","King Fahd Rd, Riyadh 12212","[""I live for Dr.cafe's coffee. They're one of the veeery few coffee places that i actually enjoy the food as well as the drinks. And this branch is beyond nice. Atmosphere and design is relaxing, modern, young, open without lacking in …MoreI live for Dr.cafe's coffee. They're one of the veeery few coffee places that i actually enjoy the food as well as the drinks. And this branch is beyond nice. Atmosphere and design is relaxing, modern, young, open without lacking in privacy. .Outdoor seating is available.Private parking for customers is also available."", 'This shop is exceptional. The design is so elegant and different than other dr.cafes. The service is good and the coffee list includes additional options like private blends, specialty coffees. I would recommend this cafe shop if you would like to read, relax and chat.', 'To be fair the coffee was amazing, but unfortunately, I said to the cashier turn off the music and he refused! ( I shocked how this guy does not respect customers !!! ) and this guided me to …MoreTo be fair the coffee was amazing, but unfortunately, I said to the cashier turn off the music and he refused! ( I shocked how this guy does not respect customers !!! ) and this guided me to leave the shop immediately!My first and last time 👋']"
28,The Organic Café,3.6,342,0,coffee shop,"Cosy, Casual, Groups","Hittin, Riyadh 13512 4254","['I sat outdoor and it has a good view. I order mushroom soup , beaf burger and chicken. Maybe the other dishes in menu are good but I don’t like what I ordered except the mushroom soup. It was delicious', 'Ambience was beautiful,  with both indoor as well as outdoor seating. Food was overall average. Not bad,  but not delicious. Dessert was good.', 'First of all, I would like to say the food and the desert weren’t bad. When you go to a cafe like this you expect a good respectful service. However, from their manager to the waiters all of them are RUDE and give a grumpy angry face when …MoreFirst of all, I would like to say the food and the desert weren’t bad. When you go to a cafe like this you expect a good respectful service. However, from their manager to the waiters all of them are RUDE and give a grumpy angry face when you ask them for anything. The my don’t give you plates, forks, spoons till you ask them and when you ask them they pretend they don’t see you and it takes them forever to bring you what you asked for. We asked for more forks and the manager himself gave us plastic forks and spoons. That’s totally unprofessional from him. When we asked to turn on the water mists they said it’s not working!!. We ordered red rose pasta and it’s ok. Prices are reasonable compared to their food quality. One star for the prices and one for their desert. Would I come back, for sure won’t repeat this experience again.  صراحة المكان جميل و الأكل لابأس فيه بس المدير و العمال من أسوء ما يكون لا خدمة و لا إحترام و لا أي إعتبار أنك زبون ممكن ترجع ثاني.تفسيري الوحيد أنهم مايبون الناس ترجع مرة ثانية. حتى المدير بنفسه وجوده زي عدمه. أتمنى إذا يبون يستمرون يغيرون من هالشئ لأن مو أول مرة احد يشتكي من تعاملهم ومن خدمتهم. اسعارهم جدًا ممتازة و أكلهم و الحلى لا بأس فيه.']"
29,Starbucks coffee,3.9,395,2,coffee shop,"Late-night food, Breakfast, Cosy","King Fahd Branch Rd, Shop #2, 1st Floor, Riyadh Gallery، Riyadh","['Starbucks is my all time fav. Coffee shop. Well, this branch does have good family seating area but very compact seating area for singles. Coffee is always great. Staff are fine. Finding a parking is ummmm easy since I always come here in …MoreStarbucks is my all time fav. Coffee shop. Well, this branch does have good family seating area but very compact seating area for singles. Coffee is always great. Staff are fine. Finding a parking is ummmm easy since I always come here in the morning, so don’t know about evening parking status. Something that I miss a lot is there Chocolate Malt Ball cake. Starbucks stopped selling this cake😭', ""Starbucks is Starbucks on the other hand this branch is extremely small and uncomfortable especially if you were a male you'd have to sit in a small confined space in an uncomfortable chair, while there's much more space on the other side with (what looks like, because you can sit on them) comfy chairs"", 'Mostly good but, the drive through can get busy real quick.']"
30,Roma Cafe,3.6,204,0,coffee shop,none,"3502 No. 28, Al Olaya, Riyadh 12211 6905 No. 28, Riyadh 12211 6905","['We ordered coffee in this coffeehouse while we are on this area. The location of the place is very strategic because at night the turn out to be a family hang out especially duting the weekends while in the day time during weekdays the …MoreWe ordered coffee in this coffeehouse while we are on this area. The location of the place is very strategic because at night the turn out to be a family hang out especially duting the weekends while in the day time during weekdays the place caters for the employees at the nearby buildings/offices in the heart of Oleya Area. Nothing so special about their  coffee which we ordered but I would love to try sometime their food.', 'Quiet place, excellent location, quick service even though it was the weekend.Free WiFi .Thanks ,Murtaza for a friendly welcome and great job .', 'Very good! Nice shawarma, friendly and helpful staff. Will return.']"
31,Raae Alkaif Roasters,4.5,4,0,coffee shop,"Cosy, Casual","King Fahd, Riyadh 12273","['Good place', '(Translated by Google) Guo and Hell are all nuts(Original)قوه وهيل وكل المكسرات', '(Translated by Google) Providing a lot of Arabic coffee products Nark Hill Nuts and Dates Sweets …More(Translated by Google) Providing a lot of Arabic coffee products Nark Hill Nuts and Dates Sweets(Original)توفير الكثير من المنتجات قهوة عربية نركية هيل مكسرات حلويات تمور']"
32,Camel Step Coffee Roasters,4.3,5568,2,coffee shop,none,طريق ابي بكر الصديق،، Riyadh 12475,"['Flat white was so good! They have lactose free milk. The cashier was so nice he gave us free coffee for our driver. Coffee prices are suitable for their high quality. Would definitely visit again to try their drip coffee as I’ve heard great reviews about it.', 'Traveling from America, this was a fantastic stop for me.  The coffee is exceptional and the service far exceeded my expectations.  I highly recommend Camel Step to locals and travelers!', ""Without any doubts, there you will find the best coffee beans in Saudi. Camel step is a remarkable coffee roaster that you shouldn't miss when visiting Riyadh.""]"
33,مزاج مغربي,3.8,103,0,coffee shop,none,"محطة الزيتي(ساسكو، Abu Ubaydah Amir Ibn al Jarrah, Al Fayha, Riyadh 14254","['A place where you get coffee', 'Fast passing Drinks', 'Perfect']"
34,Sultan Coffee,3.1,72,0,coffee shop,"Cosy, Casual, Groups","الإمام عبد العزيز بن محمد، البجيري، Al Bujairi, Riyadh 13711","['My favorite coffee shop when visiting this park. Prices were in range. Good staff', ""Pleasant place in old Riyadh area. Best coffee joint with authentic Arabic coffee's."", 'There is a good service and staff is so good and dishese is best mini pan cake,pan cake crape,waffel']"
35,Lorca Cafe,4.1,1385,2,coffee shop,"Cosy, Casual, Groups",Exit 9، Al-Imam Saud Bin Abdul Aziz Road، Riyadh,"['It’s very large cafe, they have outdoor seating . I advise them to make the latte with the specialty coffee so you can taste the real coffee latte!! They renew the coffee shop and it’s became very nice. They add some new decoration which very nice!', 'Good place but food products was not fresh', ""I have visited the place in the morning it was calm and peaceful. It offers outdoor and indoor seating area. They only serve Spanish latte cold so I ordered latte medium sugar it was a good one. We also ordered a turkey sandwich. There …MoreI have visited the place in the morning it was calm and peaceful. It offers outdoor and indoor seating area. They only serve Spanish latte cold so I ordered latte medium sugar it was a good one. We also ordered a turkey sandwich. There isn't plenty of space for car parking. And the outdoor seating is kinda noisy.The furniture needs some more attention.All in all, it was a good experience but there are better places to visit in Riyad""]"
36,CAF Cafe,3.6,1216,0,coffee shop,"Cosy, Casual, Groups","An Nakheel, Riyadh 12385","['The coffee here is actually good for a speciality cafe. The staff is super friendly and the place is cozy. They have the best cold brew in town.', ""Wow very trendy and unique spot. Got the jail chain fence running along the middle. The Saudi women on the other side and it's a unique vibe. The prices are a bit high but this is real coffee shop with full on technology and proper machines. Good brownie for 12 riyals."", 'Nice place delushes coffee many type of making the athiopian coffee friendly staff']"
37,مقهى قف,,0,0,coffee shop,"Cosy, Casual, Groups","العروبة، المعذرة الشمالي، Al Mathar Ash Shamali, Riyadh 12334",[]
38,"Java Cafe, Sahara Mall",,0,2,coffee shop,"Cosy, Casual, Groups","Sahara Mall Abi Dawoud Abi Dawoud, King Fahd, Riyadh 12272 4357 011 452",[]
39,Starbucks,3.6,193,2,coffee shop,none,"Al Andalus, Riyadh 13212","['The location is good. Need more staff. It is bus and only two people serving a lot of customers', 'It is not a great Starbucks that you could do you your work at. Sitting chairs and table not convenient and you have to request the WiFi!', 'One of the employees is not having ethics at all !!! He says that we don\'t have ice anymore so I changed my order to hot ! So one of the costumer orders ice white mocha ! And he said okay we have a little more of "" ice "" !!! Ether way the point is they don\'t have any ethical behavior!! Look into it please!']"
40,Capio Diem,4.2,629,2,coffee shop,"Cosy, Casual, Groups",7343 ابي بكر الصديق، 2284، Riyadh 13313 2284,"['Enjoyable place with a lot of board games. Nice and calm atmosphere and service was also good', ""Desert is amazing but I didn't like the coffee. Good verity of board games  we enjoyed it 👍"", 'Nice and new concept of coffee lounge. Recommend it for groups']"
41,The Coffee Shop,3.0,36,0,coffee shop,"Cosy, Casual, Groups","Eastern Ring Branch Rd, Riyadh 12822","['Tasty and super-friendly.', '(Translated by Google) Very bad and their coffee failed and expensive and above that orange, which works in it provides you in the account if you are not attentive to him. I do not recommend it definitively and the options in front of you …More(Translated by Google) Very bad and their coffee failed and expensive and above that orange, which works in it provides you in the account if you are not attentive to him. I do not recommend it definitively and the options in front of you are multiple(Original)سيء جدا وقهوتهم فاشلة وغالي وفوق ذلك البرتقالي اللي يعمل فيه يزود عليك في الحساب إذا لم تكن منتبه له . لا أنصح به نهائيا والخيارات امامك متعددة', '(Translated by Google) Aegedon for coffee and content themselves only does Foam professional …More(Translated by Google) Aegedon for coffee and content themselves only does Foam professional(Original)لايجيدون صنع القهوة ويكتفون بالرغوه فقط لايوجد احتراف']"
42,dr.CAFE COFFEE,4.0,721,2,coffee shop,none,"Western Ring Rd, Riyadh 14962","['One of the best coffee shop in Riyadh KSA. Great location and spacious area. I am having a beautiful relaxation here with some my friends.... enjoy!', 'It is convenient drive through store, however cheese croissant has little cheese.', 'Fast service. Friendly baristas.']"
43,My Life Coffee ماي لايف كافيه,3.7,1291,2,coffee shop,"Late-night food, Cosy, Casual","7726 التخصصي، An Nakheel, Riyadh 12384","['Quite a cozy and friendly environment place. Quality of the menu is good, price is higher than others. WiFi access is available and smoking zone as well. Recommended', 'Great coffee, great atmosphere and great customer service at very reasonable prices', 'Beautiful cafe. Friendly staff. Fast service']"
44,Java Time,4.2,1020,2,coffee shop,none,"King Abdullah Rd, Riyadh 12482","['friendly staffThanks all', 'No space to sit.very crowded', 'Good quality compared to prices, location is crowded and tiny']"
45,La Wien,4.0,237,2,coffee shop,"Cosy, Casual, Groups","As Sulimaniyah, Riyadh 12223","['Friendly service value for money.', 'Friendly and cozy ambiance. Good coffee and other drinks.', 'Nice I like it']"
46,White Foam Cafe,3.8,393,2,coffee shop,none,"2956 Ash Shaikh Abdullah al Anqari, Riyadh 12434","[""I really liked their coffee and their options, especially since they offer soy and almond milk. Their service is great as well. I think they could improve the place a little, it's a somewhat small place and it could use some attention. The …MoreI really liked their coffee and their options, especially since they offer soy and almond milk. Their service is great as well. I think they could improve the place a little, it's a somewhat small place and it could use some attention. The table I was sitting at wasn't very stable and would rock when I leaned on it. Overall, it's a nice place, but a little improvement would definitely help"", 'Nice place! Wonderful atmosphere. Hot chocolate without sugar in the powder itself. I am impressed. Also the carrot cake is very nice.', 'I only come here for their vegan desserts, specifically the carrot cake when it’s fresh! I would order their drinks more, but I personally didn’t like the hygiene level of the establishment (the cakes are made from a third-party vendor, so no concern there).']"
47,Starbucks Coffee,4.0,21,2,coffee shop,none,"Al Olaya, Riyadh 12214","['Good place for drink evening coffee', 'Famous', 'My love']"
48,Starbucks,3.8,511,2,coffee shop,none,"Airport Road, King Khalid International Airport, Riyadh 13455","['If I could rate it without stars I would love to. I ordered ice caramel macchiato extra caramel and I took it without caramel at all. Tried to talk with the worker there but they were rude and not responding', 'The same very beautiful and nice place to spend with friends', 'Good one. No need of any review. Best in class']"
49,Starbucks,4.0,2213,2,coffee shop,none,"King Abdullah Branch Rd, Riyadh 12253","['Nice, organized with a variety of both hot or iced coffee beverages, plus the good company... Spent some good time out there', 'Tasty coffeeThe prices alittle highThere is nice outdoor seat …MoreTasty coffeeThe prices alittle highThere is nice outdoor seatThere is Good dicoration inside the shopPolite deal with customers There is No delay in the requistIt is good place for groups taking coffeeThey have many kinds of drinkes (hot and cold) .', ""I really love this place. It's comfy and crowdy at the same time. The place is clean and spacious. The staff are super friendly and they try to serve with the best they can. What to order?? Well, it's Starbucks my dear :)""]"
50,Java Cafe,4.0,219,2,coffee shop,"Cosy, Casual","Takhassusi St, An Nakheel, Riyadh 12383","['I like thier Nervana , taste good especially in Winter', 'Try their mocha crush with caramel and chocolate, you won’t regret it.', 'Best coffee place i love it they always create new things and tasty l, i love it']"
51,دانكن دونتس,3.4,10,0,coffee shop,none,حي، طريق الأمير تركي بن عبد العزيز الأول،، Riyadh,"['Coffee taste is good', '(Translated by Google) Incorrectly opens to 2 morning then 12 pm is locked(Original) …More(Translated by Google) Incorrectly opens to 2 morning then 12 pm is locked(Original)غير صحيح يفتح الى ٢ الصباح الحين الساعه ١٢ المساء مقفل', '(Translated by Google) ق(Original)ابد قهوته ماتغيرت مزبوطه☕️']"
52,Golden Kangaroo cafe,4.3,1083,2,cafe,"Cosy, Casual, Groups","Unayzah St, Riyadh 14213","['They represent Australia in a wonderful way, barista is very talented.It’s the best cafe I’ve ever visited.', 'Good coffee shop, it’s little small but very nice. Good coffee!', 'I really appreciate such ideas Love fine details everywhere💙💙']"
53,Coffee Extract,4.4,61,0,coffee shop,"Cosy, Casual, Groups","Khalid Ibn Yazid Ibn Muawiyah, As Sulimaniyah, Riyadh 12244","['One of the best places to enjoy a cup of nice coffee with serenity. Service is exceptional and consistently delivers what it promises. I feel the friendliness of the staff and people around me when I am here. Fast and  free internet is a great bonus. Highly recommend to visit.', 'Peaceful, very good service and nice cup of real coffee.', 'Excellent taste and service']"
54,Address Cafe,4.1,1863,2,coffee shop,"Cash only, Breakfast, Cosy","Al Manar, شارع الإمام الشافعي، حي، Riyadh","['Nice place to have a cup of coffee and relaxation with friends.', 'Very busy but worth the wait. Their coffee is fantastic!!', 'Good and nice coffeeInternet need to be better :/!']"
55,coffee 101,4.2,144,0,coffee shop,"Cosy, Casual, Groups","Al Aqiq, Riyadh 13515","[""Good coffee and sweets nice place to study ,it's quiet and cosy"", 'Quite taste, quite place.. perfect.', 'Quite place, wonderful staff and awesome atmosphere. Btw don’t forget to order and enjoy the Cortado and the Zafran cake   ']"
56,باشن كافية,5.0,1,0,coffee shop,"Cosy, Casual, Groups","s, Riyadh 12244",['Best one...........great deal............... High quality...........  Best product............ Super location........... Lovely place.............. Cooling excellent.............Best one...........great deal............... High …MoreBest one...........great deal............... High quality...........  Best product............ Super location........... Lovely place.............. Cooling excellent.............Best one...........great deal............... High quality...........  Best product............ Super location........... Lovely place.............. Cooling excellent.............']
57,dr.CAFE COFFEE,3.9,1068,2,coffee shop,"Cosy, Casual, Groups",سانيه مول، الطريق الدائري الشرقي، حي الجزيرة، Riyadh 14251,"['Really good coffee shop, my order was little bit too sweet.', 'Nice coffee while coming back from Jubial', 'Nice place to hang out with lots of choices beverages..']"
58,Coffee Day,3.8,584,2,cafe,"Cosy, Casual, Groups","King Fahd Rd, Riyadh 12333","['Below average it terms of taste, atmosphere, comfy and service. Needs some renovation. Apart from the view everything else was below average.', 'Best place to have coffee..best ever Coffee Latte', 'Very friendly staff. Good drinks. All Sofa inside covers are torn. Needs immediate replacement.']"
59,Coffee Boxes,4.0,859,0,coffee shop,"Cosy, Casual, Groups",طريق ابي بكر الصديق،، Riyadh 12477,"['I recommended it to my friend and brought him with me. Unfortunately, they didn’t let us sit inside saying that the inside area is just for family after 7 PM. I was so disappointed. I came all the way from a far distance to be asked to …MoreI recommended it to my friend and brought him with me. Unfortunately, they didn’t let us sit inside saying that the inside area is just for family after 7 PM. I was so disappointed. I came all the way from a far distance to be asked to leave and sit in outside tables which is next to a very crowded noisy street with bad smells. The inside area was empty, however, they were welling to lose us instead of letting us sit inside, so we left! And to be honest,  I DON’T RECOMMEND A PLACE WITH SUCH A POOR CUSTOMER SERVICE :(', 'A perfect place to have a decent coffee.Well designed decoration. The staff are very friendly and helpful.  I would recommend it for small groups . Try their loka and meme signature you will definitely fall in love 😍😍', 'A lovely cozy coffee place. Excellent dessert and coffee, very friendly staff. Nice playlist👍  ']"
60,Starbucks,3.9,450,2,coffee shop,none,"Ath Thumamah Road, Ath Thumamah Road Jarir Bookstore Riyadh 13323 THERES NO UTURN ON ATH THUMAMAH ROAD! Pls fix, Riyadh","['The worst store ever , lazy staff and always slow service ..If your usual drink is browed coffee then never come here because they will …MoreThe worst store ever , lazy staff and always slow service ..If your usual drink is browed coffee then never come here because they will never have it ready for you till someone askes. Awful store ..', 'I like the mekato kramel caffe', 'As usual Starbucks one of my favourite places']"
61,Caribou Coffee,4.2,764,2,coffee shop,none,Marina Mall، Riyadh 12273,"['Cold brew and Turky sandwich best way to satisfied you morning caffeine curve! And your hunger 😋', 'To be honest the coffee here is way better than in other On-The-Go cafes!', 'Prices are lower than Mama Buns. Chocolate muffin not as good. Locations are excellent. Environment is excellent. Should vaccum the rug at night. I came in the morning. Big crumbs and table not cleaned in the sofa area. It gets a five for spacious environment and location and benefits.']"
